rule_id,priority,mode,target_char,phrase,expected_reading,excluded_phrases,source,source_url,note,pdf_contains,evidence_level
P-ROLE-JIAO,120,exact,角,角色,ㄐㄩㄝˊ；ㄐㄧㄠˇ,,教育部《重編國語辭典修訂本》,https://dict.revised.moe.edu.tw/dictView.jsp?ID=13692&la=0&powerMode=0,「角色」以ㄐㄩㄝˊ為主音，辭典亦收ㄐㄧㄠˇ變讀；兩者均接受。,,
P-MAINROLE-JIAO,120,exact,角,主角,ㄐㄩㄝˊ；ㄐㄧㄠˇ,,教育部《重編國語辭典修訂本》,https://dict.revised.moe.edu.tw/dictView.jsp?ID=118069&la=0&powerMode=0,「主角」以ㄐㄩㄝˊ為主音，辭典亦收ㄐㄧㄠˇ變讀；兩者均接受。,,
P-CHAMPION-GUAN,120,exact,冠,冠軍,ㄍㄨㄢˋ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-PLANT-ZHONG,120,exact,種,種植,ㄓㄨㄥˋ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-PUNISH-CHU,120,exact,處,處罰,ㄔㄨˇ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-IMPOSE-CHU,120,exact,處,處以,ㄔㄨˇ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-BEISHOU,120,exact,背,背手,ㄅㄟˋ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-BEIYU,120,exact,背,背於,ㄅㄟˋ,,思考模式2.4.docx,,2.4 正向回歸規則,,
P-ZHUAN-1,120,exact,轉,旋轉,ㄓㄨㄢˇ,,思考模式2.4.docx,,2.4 負向控制：完整詞條優先,,
P-ZHUAN-2,120,exact,轉,轉動,ㄓㄨㄢˇ,,思考模式2.4.docx,,2.4 負向控制：完整詞條優先,,
P-ZHUAN-3,120,exact,轉,轉速,ㄓㄨㄢˇ,,思考模式2.4.docx,,2.4 負向控制：完整詞條優先,,
P-ZHUAN-4,120,exact,轉,轉盤,ㄓㄨㄢˇ,,思考模式2.4.docx,,2.4 負向控制：完整詞條優先,,
P-SEW-FENG,120,exact,縫,縫線,ㄈㄥˊ,,思考模式2.4.docx,,2.4 負向控制,,
P-CAMP-LU,120,exact,露,露營,ㄌㄨˋ,,思考模式2.4.docx,,2.4 視覺負向控制,,
P-JI-1,120,exact,給,給予,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-2,120,exact,給,給與,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-3,120,exact,給,供給,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-4,120,exact,給,補給,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-5,120,exact,給,配給,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-6,120,exact,給,給假,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-7,120,exact,給,自給自足,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-JI-8,120,exact,給,職務加給,ㄐㄧˇ,,思考模式2.4.docx,,2.4 給予類規則,,
P-MO4-1,120,exact,磨,石磨,ㄇㄛˋ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-MO4-2,120,exact,磨,磨麵,ㄇㄛˋ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-MO4-3,120,exact,磨,磨豆腐,ㄇㄛˋ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-MO2-1,120,exact,磨,磨刀,ㄇㄛˊ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-MO2-2,120,exact,磨,磨牙,ㄇㄛˊ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-MO2-3,120,exact,磨,磨練,ㄇㄛˊ,,思考模式2.4.docx,,2.4 完整詞語規則,,
P-CHOU,120,exact,臭,臭味相投,ㄒㄧㄡˋ,,思考模式2.4.docx,,2.4 完整詞語規則,,
D-EX-001,100,exact,處,相處,ㄔㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-002,100,exact,處,處理,ㄔㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-003,100,exact,處,處方,ㄔㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-004,100,exact,處,所處,ㄔㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-005,100,exact,處,一處,ㄔㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-006,100,exact,處,住處,ㄔㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-007,100,exact,處,益處,ㄔㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-008,100,exact,長,成長,ㄓㄤˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-009,100,exact,長,生長,ㄓㄤˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-010,100,exact,長,長大,ㄓㄤˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-011,100,exact,長,家長,ㄓㄤˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-012,100,exact,長,首長,ㄓㄤˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-013,100,exact,長,長期,ㄔㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
