case_id,pdf_contains,page,phrase,target_char,target_occurrence_index,actual_reading,expected_reading,status,source,note,applicability_mode,source_pdf_sha256
CONF-001,115國小健體3下課本,131,強勁,勁,,ㄐㄧㄣˋ,ㄐㄧㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,PDF實際注音解碼正確；教材注音錯誤。原v1.4以實體頁132表示，v1.4.1改用課本頁P131。,hard_gate,
CONF-002,115國小健體3下課本,82,要求,要,,ㄧㄠˋ,ㄧㄠ,確認錯誤,使用者人工確認（2026-08-14）,PDF實際注音解碼正確；教材注音錯誤。原v1.4以實體頁83表示，v1.4.1改用課本頁P82。,hard_gate,
CONF-003,115國小健體3下課本,27,東西,西,,ㄒㄧ,˙ㄒㄧ,確認錯誤,使用者人工確認（2026-08-14）,課本P27原頁標ㄒㄧ；「東西」此處應讀輕聲˙ㄒㄧ，確認教材注音錯誤。,hard_gate,
NEG-001,115國小健體3下課本,32,東西,西,,˙ㄒㄧ,˙ㄒㄧ,確認正確,使用者人工確認（2026-08-14）,課本P32原頁標˙ㄒㄧ，教材注音正確；作為負向回歸控制。,hard_gate,
NEG-002,115國小健體3下課本,62,東西,西,,˙ㄒㄧ,˙ㄒㄧ,確認正確,使用者人工確認（2026-08-14）,課本P62原頁標˙ㄒㄧ，教材注音正確；作為負向回歸控制。,hard_gate,
NEG-003,115國小健體3下課本,28,腹部分為,分,,ㄈㄣ,ㄈㄣ,確認正確,使用者人工確認（2026-08-14）,課文結構為「腹部／分為」；「分」讀ㄈㄣ正確。v1.5加入高優先完整詞境規則，消除「部分」與「分為」交疊造成的假衝突。,hard_gate,
NEG-004,115國小健體3下課本,5,真功夫,夫,,˙ㄈㄨ,˙ㄈㄨ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-005,115國小健體3下課本,12,呵。,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-006,115國小健體3下課本,17,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-007,115國小健體3下課本,26,呵。,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-008,115國小健體3下課本,45,避難,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-009,115國小健體3下課本,54,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-010,115國小健體3下課本,66,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-011,115國小健體3下課本,89,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-012,115國小健體3下課本,149,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-013,115國小健體3下課本,157,穿著,著,,ㄓㄨㄛˊ,ㄓㄨㄛˊ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-014,115國小健體3下課本,157,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-015,115國小健體3下課本,166,呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,原 v1.5.1 差異候選是解碼誤讀；PDF 實際標示與預期相同。,hard_gate,
NEG-016,115國小健體3下課本,111,一定要在軟墊上練習呵!,呵,,ㄛ,ㄛ,確認正確,使用者人工確認（2026-08-14）,文字層誤抽為「喔」；頁面實際字為「呵」，注音正確。；2026-08-17 分檔流程句境標點正規化為 ASCII !，回歸詞形同步。,hard_gate,
CONF-004,115國小健體3下課本,156,嘴巴,巴,,ㄅㄚ,˙ㄅㄚ,確認錯誤,使用者人工確認（2026-08-14）,課本將「嘴巴」的「巴」標為ㄅㄚ，應為輕聲˙ㄅㄚ；使用者在附件頁碼欄黃底標示。,hard_gate,
NEG-L02-001,03-115國小健體1上課本-L02,43,空格,空,,ㄎㄨㄥˋ,ㄎㄨㄥˋ,確認正確,使用者原頁人工確認（2026-08-14）,課本P43「空格中」的「空」實際標ㄎㄨㄥˋ，與完整詞語預期一致；v1.8 差異是 glyph 對照誤讀，作為跨冊負向回歸控制。,hard_gate,
NEG-4UP-001,115國小健體4上課本,19,飲食得以正常三餐為主,得,,ㄉㄟˇ,ㄉㄟˇ,確認正確,使用者人工確認（2026-08-14）,課文分段為「飲食／得／以正常…」；舊版錯把「得以」當完整詞。,hard_gate,
NEG-4UP-002,115國小健體4上課本,19,著想,著,,ㄓㄠˊ,ㄓㄠˊ,確認正確,使用者人工確認（2026-08-14）,使用者確認課文注音正確；舊預期ㄓㄨㄛˊ不適用此專案。,hard_gate,
NEG-4UP-003,115國小健體4上課本,21,充分,分,,ㄈㄣˋ,ㄈㄣˋ,確認正確,使用者人工確認（2026-08-14）,「充分」的分讀ㄈㄣˋ；舊預期ㄈㄣ錯。,hard_gate,
NEG-4UP-004,115國小健體4上課本,23,充分睡眠,分,,ㄈㄣˋ,ㄈㄣˋ,確認正確,使用者人工確認（2026-08-14）,「充分睡眠」的分讀ㄈㄣˋ；舊預期ㄈㄣ錯。,hard_gate,
NEG-4UP-005,115國小健體4上課本,153,背於,背,,ㄅㄟ,ㄅㄟ,確認正確,使用者人工確認（2026-08-14）,「背於腰後／兩側」的背讀ㄅㄟ。,hard_gate,
NEG-4UP-006,115國小健體4上課本,153,背手,背,,ㄅㄟ,ㄅㄟ,確認正確,使用者人工確認（2026-08-14）,「背手跳」的背讀ㄅㄟ。,hard_gate,
CONF-4UP-001,115國小健體4上課本,42,冠軍,冠,,ㄍㄨㄢ,ㄍㄨㄢˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「冠軍」的冠標ㄍㄨㄢ，應為ㄍㄨㄢˋ。,hard_gate,
CONF-4UP-002,115國小健體4上課本,48,成長,長,,ㄔㄤˊ,ㄓㄤˇ,確認錯誤,使用者人工確認（2026-08-14）,課本將「成長」的長標ㄔㄤˊ，應為ㄓㄤˇ。,hard_gate,
CONF-4UP-003,115國小健體4上課本,74,種植,種,,ㄓㄨㄥˇ,ㄓㄨㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「種植」的種標ㄓㄨㄥˇ，應為ㄓㄨㄥˋ。,hard_gate,
CONF-4UP-004,115國小健體4上課本,78,種植,種,,ㄓㄨㄥˇ,ㄓㄨㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「種植」的種標ㄓㄨㄥˇ，應為ㄓㄨㄥˋ。,hard_gate,
CONF-4UP-005,115國小健體4上課本,78,處罰,處,,ㄔㄨˋ,ㄔㄨˇ,確認錯誤,使用者人工確認（2026-08-14）,課本將「處罰」的處標ㄔㄨˋ，應為ㄔㄨˇ。,hard_gate,
CONF-4UP-006,115國小健體4上課本,107,他們,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,課本將「他們」的們標ㄇㄣˊ，應為輕聲˙ㄇㄣ。,hard_gate,
CONF-4UP-007,115國小健體4上課本,129,更靈活,更,,ㄍㄥ,ㄍㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「更靈活」的更標ㄍㄥ，應為ㄍㄥˋ。,hard_gate,
CONF-4UP-008,115國小健體4上課本,170,一分鐘,一,,ㄧ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「一分鐘」的一標本調ㄧ；此處依變調應為ㄧˋ。,hard_gate,
CONF-4UP-009,115國小健體4上課本,180,一分鐘,一,,ㄧ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,課本將「一分鐘」的一標本調ㄧ；此處依變調應為ㄧˋ。,hard_gate,
CONF-4UP-010,115國小健體4上課本,207,種子,子,,˙ㄗ,ㄗˇ,確認錯誤,使用者人工確認（2026-08-14）,課本將「種子」的子標輕聲˙ㄗ；依專案審訂基準應為ㄗˇ。,hard_gate,
CONF-4UP-011,115國小健體4上課本,208,男子,子,,˙ㄗ,ㄗˇ,確認錯誤,使用者人工確認（2026-08-14）,課本將「男子」的子標輕聲˙ㄗ；依專案審訂基準應為ㄗˇ。,hard_gate,
CONF-4UP-012,115國小健體4上課本,48,嶄露頭角,露,,ㄌㄡˋ,ㄌㄨˋ,確認錯誤,使用者人工確認（2026-08-14）,四上 P48「嶄露頭角」的「露」課本實際標 ㄌㄡˋ；完整詞語應讀 ㄌㄨˋ。PDF 實際解碼正確，確認教材注音錯誤。,hard_gate,
CONF-4UP-013,115國小健體4上課本,78,"處1,200元",處,,ㄔㄨˋ,ㄔㄨˇ,確認錯誤,使用者人工確認（2026-08-14）,"四上 P78「依廢棄物清理法規定，處1,200元以上……罰鍰」的「處」課本實際標 ㄔㄨˋ；懲罰義應讀 ㄔㄨˇ。PDF 實際解碼正確，確認教材注音錯誤。",hard_gate,
NEG-3DN-001,115國小健體3下課本,106,空隙,空,,ㄎㄨㄥˋ,ㄎㄨㄥˋ,確認正確,使用者原頁人工確認（2026-08-14）,三下 P106「空隙」的「空」課本注音正確為 ㄎㄨㄥˋ。v2.1 差異候選源自 TTF glyph 對照誤記，v2.2 修正 YenRoundZuinn1EG-Md#14792。,hard_gate,
NEG-017,115國小健體3下課本,58,耶!,耶,,ㄧㄝ,ㄧㄝ,確認正確,使用者人工確認（2026-08-14）,P58「耶！」為 Yeah 音譯／口語感嘆；v2.7 改以正確句界「耶!」定位。,hard_gate,
NEG-018,115國小健體3下課本,131,踢中球心,中,,ㄓㄨㄥˋ,ㄓㄨㄥˋ,確認正確,使用者人工確認（2026-08-14）,P131「踢中球心」的「中」為擊中義，讀ㄓㄨㄥˋ；舊預設ㄓㄨㄥ錯。,hard_gate,
