pdf_contains,physical_page,target_char,x0,y0,context_text,target_index,source,note
115國小健體3上課本,89,跑,115.521,287.043,除了姿勢外，還有什麼原因可以讓人跑得快？,16,原頁視覺核對（2026-08-15）,PDF 將外框裝飾文字拆成向量/孤立字；此列只補回肉眼可見的中文字句境，不提供任何注音答案。
115國小健體3下課本,38,調,228.189,137.837,觀察排便，並調整飲食與運動,6,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,51,不,172.711,196.095,電線不綑綁折損,2,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,51,折,234.752,202.755,電線不綑綁折損,5,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,51,不,481.831,358.678,插座不潮溼汙損,2,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,52,不,112.387,419.71,用電不超過負載,2,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,52,過,155.77,413.112,用電不超過負載,4,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,52,旁,131.153,122.608,電器旁不放可燃物,2,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,52,放,174.821,119.567,電器旁不放可燃物,4,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,52,可,193.946,122.193,電器旁不放可燃物,5,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層將此可見句子拆散；只重建肉眼可見中文字句境，不提供實際或預期注音。
115國小健體3下課本,151,得,186.432,259.973,2擊中羚羊得1分,5,PDF原頁可見中文字句境重建（2026-08-15）,PDF文字層在換行處將「分」拆到下一區塊；只重建肉眼可見中文字句境，不提供實際或預期注音。
07-115國小健體3下課本-L06-三審,18,呵,164.764,632.124,一定要在軟墊上練習呵！,9,使用者原頁人工確認（2026-08-14）－分檔句境重建（2026-08-17）,PDF文字層誤抽「呵」為「喔」，字元覆寫後補回肉眼可見完整句境；只提供句境，不提供注音答案。
09-115國小健體3下課本-L08-三審,3,西,68.032,191.338,浮潛要準備什麼東西呢?,8,PDF原頁可見中文字跨行句境重建（2026-08-18）,P156 可見句子跨版面換行：「浮潛要準備什麼東」＋「西呢？」；只補回肉眼可見中文字句境，不提供 actual 或 expected 注音。
02-115國小健體3下課本-L01-三審,3,寶,68.032,191.266,阿中也很好奇小寶寶住在媽媽身體裡的哪個地方?,8,PDF原頁可見中文字跨行句境重建（2026-08-18）,P8 可見句子跨版面換行：「阿中也很好奇小寶」＋「寶住在媽媽身體裡的哪個地方？」；只重建可見文字句境，不提供 actual 或 expected 注音。
08-115國小健體3下課本-L07-三審,27,得,186.432,259.973,2擊中羚羊得1分,5,PDF原頁可見中文字跨行句境重建（2026-08-18）,P150 計分說明文字層將「分」拆到下一區塊；只重建肉眼可見「2擊中羚羊得1分」句境，不提供 actual 或 expected 注音。
