case_id,context,target_char,target_index,expected_resolution,expected_set,required_matched_phrase,forbidden_matched_phrase,control_type,note
M25-ROLE-JUE,角色,角,0,RESOLVED,ㄐㄩㄝˊ,角色,,positive,角色的角
M25-WOMEN-MEN,我們,們,1,RESOLVED,˙ㄇㄣ,我們,,positive,們必須是輕聲
M25-JEANS-ZAI,牛仔褲,仔,1,RESOLVED,ㄗㄞˇ,牛仔褲,,positive,牛仔褲的仔
M25-CAMP-LU,露營,露,0,RESOLVED,ㄌㄨˋ,露營,,positive,露營
M25-SEW-FENG,縫線,縫,0,RESOLVED,ㄈㄥˊ,縫線,,positive,縫線
M25-ZHUAN-XUAN,旋轉,轉,1,RESOLVED,ㄓㄨㄢˇ,旋轉,,positive,旋轉
M25-ZHUAN-DONG,轉動,轉,0,RESOLVED,ㄓㄨㄢˇ,轉動,,positive,一般轉動
M25-ZHUAN-SU,轉速,轉,0,RESOLVED,ㄓㄨㄢˇ,轉速,,positive,轉速
M25-ZHUAN-PAN,轉盤,轉,0,RESOLVED,ㄓㄨㄢˇ,轉盤,,positive,轉盤
M25-BAO-FIRST,寶寶,寶,0,RESOLVED,ㄅㄠˇ,寶寶,,positive,寶寶第一位置
M25-BAO-SECOND,寶寶,寶,1,RESOLVED,˙ㄅㄠ,寶寶（第二字）,,positive,公司現行注音規範（使用者確認 2026-08-19）：寶寶第二個寶標輕聲；公司政策作為獨立 expected 證據，不由 actual 反推
M25-MEI-FIRST,妹妹,妹,0,RESOLVED,ㄇㄟˋ,妹妹,,positive,妹妹第一位置
M25-MEI-SECOND,妹妹,妹,1,RESOLVED,˙ㄇㄟ,妹妹,,positive,妹妹第二位置
M25-XIABA,下巴,巴,1,RESOLVED,˙ㄅㄚ,下巴,,positive,下巴輕聲
M25-HE-CONJ,我和他,和,1,RESOLVED,ㄏㄢˋ,,,positive,專案連接詞和
M25-DANGZUO-TREAT,把它當作禮物,當,2,RESOLVED,ㄉㄤˋ,當作,,positive,視同認為義
M25-DANGZUO-SHOULD,應當作好準備,當,1,RESOLVED,ㄉㄤ,,,negative,應當加作好不可跨詞誤命中當作
M25-DANGNIAN-PAST,想當年他很年輕,當,1,RESOLVED,ㄉㄤ,當年,,positive,過去義
M25-DANGNIAN-SAMEYEAR,她入學當年搬家,當,3,RESOLVED,ㄉㄤ,當年,,positive,同一年義
M25-ETOU-CONFLICT,額頭,頭,1,CONFLICT,ㄊㄡˊ|˙ㄊㄡ,額頭,,negative,現行手冊內部兩音衝突必須保留
M25-ZHASHI,扎實,扎,0,RESOLVED,ㄓㄚ,扎實,,positive,扎實
M25-YI-FIRST,一天,一,0,RESOLVED,ㄧˋ,,,positive,一在陰平前
M25-YI-SECOND,一年,一,0,RESOLVED,ㄧˋ,,,positive,一在陽平前
M25-YI-THIRD,一起,一,0,RESOLVED,ㄧˋ,,,positive,一在上聲前
M25-YI-FOURTH,一個,一,0,RESOLVED,ㄧˊ,,,positive,一在去聲前
M25-YI-ORDINAL,第一名,一,1,RESOLVED,ㄧ,,,positive,序數一保留本調
M25-YI-A1A,看一看,一,1,RESOLVED,ㄧˊ,,,positive,A一A依後字變調
M25-YI-NEXT-UNKNOWN,一龘,一,0,UNRESOLVED,,,,negative,後字無唯一音時不得猜
M25-BU-FOURTH,不是,不,0,RESOLVED,ㄅㄨˊ|ㄅㄨˋ,,,positive,去聲前允許語流變調ㄅㄨˊ或教材保留本調ㄅㄨˋ；不得為了硬湊單一音製造假警報
M25-BU-NONFOURTH,不敢,不,0,RESOLVED,ㄅㄨˋ,,,positive,以後字「敢」上聲的唯一讀音驗證：不在非去聲前維持ㄅㄨˋ
M25-BU-NEXT-UNKNOWN,不龘,不,0,UNRESOLVED,,,,negative,後字無唯一音時不得猜
M25-BOUND-ZHUANCHENG,轉成功,轉,0,ANY,,,轉成,negative,不可跨詞界命中轉成
M25-BOUND-BEISHU,背書包,背,0,RESOLVED,ㄅㄟ,,背書,negative,不可跨詞界命中背書
M25-BOUND-JIARENHE,家人和他,和,2,RESOLVED,ㄏㄢˋ,,人和,negative,不可跨詞界命中人和
M25-BOUND-XIAORENHE,小人和他,和,2,RESOLVED,ㄏㄢˋ,,人和,negative,不可跨詞界命中人和
M25-BOUND-TRUE-RENHE,天時地利人和,和,5,RESOLVED,ㄏㄜˊ,人和,,positive,真正人和應允許命中
